president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,9/27/2020,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.1162936,0,44,44,43.53649,44.241602,NA,NA,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/23/2017,1/25/2017,YouGov,B,2692,a,1.0470774,0,41,35,41.893156,36.937403,NA,NA,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/24/2017,1/26/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.1738549,0,55,45,49.530459,46.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49234,77246,1/27/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/23/2017,1/27/2017,Ipsos,B-,1712,a,0.12656131,0,44.5,45.5,45.604345,44.17252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/24/2017,1/26/2017,Gallup,B,1500,a,0.20464698,0,45,48,45.74501,46.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/24/2017,1/28/2017,Ipsos,B-,1684,a,0.117172,0,45.4,46,46.504345,44.67252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49422,77595,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/25/2017,1/27/2017,Gallup,B,1500,a,0.19621853,0,42,50,42.74501,48.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/25/2017,1/29/2017,Ipsos,B-,1630,a,0.10749676,0,48.2,45.1,49.304345,43.77252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49421,77594,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/26/2017,1/28/2017,Gallup,B,1500,a,0.18925993,0,42,51,42.74501,49.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/26/2017,1/28/2017,Morning Consult,B/C,1991,rv,0.56009815,0,49,41,48.33176,42.289078,NA,NA,https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001,49241,77253,1/29/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/25/2017,1/29/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0940142,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49239,77251,1/30/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/26/2017,1/30/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.2686413,0,51,49,45.530459,50.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49243,77255,1/31/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/26/2017,1/30/2017,Ipsos,B-,2204,a,0.13855465,0,46.8,45.8,47.904345,44.47252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49420,77593,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/26/2017,1/30/2017,SurveyMonkey,D-,4444,a,0.19705636,0,48,50,45.507007,49.229691,NA,NA,https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/,49240,77252,1/31/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/27/2017,1/29/2017,Gallup,B,1500,a,0.18353335,0,43,50,43.74501,48.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/28/2017,1/30/2017,Gallup,B,1500,a,0.17886687,0,43,51,43.74501,49.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/27/2017,1/31/2017,Ipsos,B-,3153,a,0.19028848,0,45.3,46.9,46.404345,45.57252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49419,77592,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/27/2017,2/2/2017,IBD/TIPP,A/B,885,a,1.6009492,0,42,48,43.60611,47.446267,NA,NA,http://www.investors.com/wp-content/uploads/2017/02/IBDTIPP_Poll_2017_02.pdf,49269,77282,2/3/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/28/2017,2/1/2017,Ipsos,B-,3141,a,0.18375236,0,45,47.9,46.104345,46.57252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49418,77591,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/29/2017,1/31/2017,Gallup,B,1500,a,0.17513695,0,43,52,43.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/28/2017,1/31/2017,YouGov,B,1500,a,0.39853944,0,43,44,43.893156,45.937403,NA,NA,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qg8b1mgh4b/econToplines.pdf,49268,77280,2/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/29/2017,1/31/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.13999488,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49250,77262,2/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/30/2017,1/31/2017,Public Policy Polling,B,725,rv,0.74840912,0,47,49,46.53649,49.241602,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,77250,2/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/30/2017,2/1/2017,Gallup,B,1500,a,0.1722575,0,43,52,43.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/30/2017,2/1/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.13679511,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49258,77270,2/2/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/29/2017,2/2/2017,Ipsos,B-,3154,a,0.18048709,0,45.3,47.4,46.404345,46.07252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49417,77590,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/31/2017,2/2/2017,Gallup,B,1500,a,0.17017311,0,43,52,43.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/30/2017,2/3/2017,Ipsos,B-,3368,a,0.19015917,0,44.9,47.7,46.004345,46.37252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49416,77589,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/31/2017,2/2/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.13405959,0,54,46,48.530459,47.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49263,77275,2/3/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/31/2017,2/2/2017,CNN/Opinion Research Corp.,B+,1002,a,1.5435987,0,44,53,43.688252,51.51125,NA,NA,http://i2.cdn.turner.com/cnn/2017/images/02/03/rel2a.-.trump.pdf,49264,77276,2/3/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/30/2017,2/5/2017,SurveyMonkey,D-,9219,a,0.27044597,0,46,52,43.507007,51.229691,NA,NA,https://blog.electiontracking.surveymonkey.com/2017/02/06/trump-approval-january-30-february-5/,49272,77286,2/6/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/31/2017,2/4/2017,Ipsos,B-,2774,a,0.1559746,0,45.2,47.7,46.304345,46.37252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49415,77588,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/1/2017,2/2/2017,CBS News,A,1019,a,1.7591957,0,40,48,41.313898,47.451513,NA,NA,http://www.cbsnews.com/news/americans-sharply-divided-along-partisan-lines-over-travel-ban-trump-cbs-news-poll/?ftag=CNM-00-10aab7e&linkId=34085362,49252,77264,2/3/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/1/2017,2/3/2017,Gallup,B,1500,a,0.16833145,0,44,50,44.74501,48.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/4/2017,YouGov,B,1000,a,0.21193264,0,43,47,43.893156,48.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67121,125429,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/1/2017,2/5/2017,Ipsos,B-,1849,a,0.10400072,0,47.5,46.8,48.604345,45.47252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49414,77587,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/1/2017,2/5/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.07849348,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49256,77268,2/6/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/4/2017,Gallup,B,1500,a,0.16670903,0,42,53,42.74501,51.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/4/2017,Morning Consult,B/C,2123,a,0.57481602,0,48,43,47.33176,44.289078,NA,NA,https://morningconsult.com/wp-content/uploads/2017/06/170105_topline_Brands_v3_AG.pdf,49275,92571,1/9/2019,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/4/2017,Zogby Analytics,C+,860,lv,0.93813536,0,47,43,43.824304,44.853861,NA,NA,https://www.zogbyanalytics.com/news/768-voters-agree-with-president-trump-s-executive-orders-president-s-approval-rating-up,49270,77284,2/5/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/6/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.23160341,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49271,77285,2/7/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/6/2017,Ipsos,B-,1869,a,0.10536678,0,47.1,47.5,48.204345000000004,46.17252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49413,77586,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/6/2017,McLaughlin & Associates,C/D,1000,lv,0.68696501,0,48,48,44.195825,49.519954,NA,NA,http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79636,11/16/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/2/2017,2/6/2017,Quinnipiac University,B+,1155,rv,1.375772,0,42,51,43.610466,49.78758,NA,NA,https://poll.qu.edu/national/release-detail?ReleaseID=2427,49276,77290,2/7/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/3/2017,2/5/2017,YouGov,B,1000,a,0.20012415,0,43,46,43.893156,47.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67122,125430,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/3/2017,2/5/2017,Gallup,B,1500,a,0.16528638,0,42,52,42.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/4/2017,2/6/2017,YouGov,B,1000,a,0.18830082,0,41,48,41.893156,49.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67123,125431,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/3/2017,2/7/2017,Ipsos,B-,1900,a,0.10744172,0,47.5,47.6,48.604345,46.27252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49412,77585,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/4/2017,2/6/2017,Gallup,B,1500,a,0.16404735,0,42,54,42.74501,52.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.12630335,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/4/2017,2/8/2017,Ipsos,B-,1718,a,0.09754093,0,47.5,47.6,48.604345,46.27252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/5/2017,2/7/2017,Gallup,B,1500,a,0.16297863,0,43,52,43.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/5/2017,2/7/2017,YouGov,B,1000,a,0.17879759,0,40,48,40.893156,49.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67512,126304,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/5/2017,2/6/2017,Emerson College,A-,617,rv,1.1289502,0,48.1,47.2,46.724772,50.078726,NA,NA,http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,77307,2/7/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/5/2017,2/7/2017,YouGov,B,1500,a,0.26819638,0,41,48,41.893156,49.937403,NA,NA,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4zurt7hzwj/econToplines.pdf,49273,77287,2/8/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/6/2017,2/8/2017,YouGov,B,1000,a,0.17342297,0,39,50,39.893156,51.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67124,125433,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/5/2017,2/9/2017,Ipsos,B-,1756,a,0.1001297,0,47.8,46.4,48.904345,45.07252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/6/2017,2/8/2017,Gallup,B,1500,a,0.16206931,0,43,52,43.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.12583184,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/7/2017,2/9/2017,Gallup,B,1500,a,0.16131057,0,42,52,42.74501,50.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/7/2017,2/9/2017,YouGov,B,1000,a,0.16852928,0,41,50,41.893156,51.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67125,125434,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/7/2017,2/9/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.12531835,0,52,48,46.530459,49.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49278,77293,2/10/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,0.79043551,0,43,53,42.53649,53.241602,NA,NA,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,77302,2/9/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/6/2017,2/10/2017,Ipsos,B-,1765,a,0.10112674,0,46.7,47.6,47.804345,46.27252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49409,77582,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/6/2017,2/12/2017,SurveyMonkey,D-,9349,a,0.19977259,0,46,53,43.507007,52.229691,NA,NA,https://blog.electiontracking.surveymonkey.com/2017/02/13/trump-approval-february-6-12/,49281,77296,2/13/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/8/2017,2/10/2017,Gallup,B,1500,a,0.16069545,0,41,53,41.74501,51.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/7/2017,2/11/2017,Ipsos,B-,1770,a,0.10182906,0,46.7,47.5,47.804345,46.17252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49408,77581,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/9/2017,2/11/2017,Gallup,B,1500,a,0.16021868,0,40,55,40.74501,53.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/8/2017,2/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.0745276,0,52,48,46.530459,49.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49284,77299,2/13/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/9/2017,2/10/2017,Morning Consult,B/C,1791,rv,0.50630957,0,49,45,48.33176,46.289078,NA,NA,https://morningconsult.com/2017/02/15/poll-warren-wouldnt-beat-trump-2020-another-democrat/,49296,77311,2/11/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/8/2017,2/12/2017,Ipsos,B-,1774,a,0.10236873,0,46.3,48.4,47.404345,47.07252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49407,77580,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/7/2017,2/12/2017,Pew Research Center,B/C,1503,a,1.1843101,0,39,56,40.85141,52.728513,NA,NA,http://www.people-press.org/2017/02/16/in-first-month-views-of-trump-are-already-strongly-felt-deeply-polarized/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=17-02-15%20feb%20political&org=982&lvl=100&ite=819&lea=171698&ctr=0&par=1&trk=,49308,77323,2/13/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/10/2017,2/12/2017,YouGov,B,1000,a,0.15405449,0,40,50,40.893156,51.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67126,125435,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/9/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.22143555,0,52,48,46.530459,49.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49288,77303,2/14/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/10/2017,2/12/2017,Gallup,B,1500,a,0.15987653,0,40,54,40.74501,52.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/9/2017,2/13/2017,Ipsos,B-,1813,a,0.104795,0,46.3,48.5,47.404345,47.17252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49406,77579,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/11/2017,2/13/2017,YouGov,B,1000,a,0.14965587,0,42,47,42.893156,48.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67127,125436,7/17/2020,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/11/2017,2/13/2017,Harris Poll,C,2148,rv,1.2351228,0,48,52,43.74899,51.329354,NA,NA,http://harvardharrispoll.com/wp-content/uploads/2017/02/Harvard-Harris-Topline-2.17.2017-Final.pdf,49369,77450,2/14/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/10/2017,2/14/2017,Ipsos,B-,1777,a,0.10271593,0,45.3,50.6,46.404345,49.27252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49405,77578,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/11/2017,2/13/2017,Fox News,A-,1013,rv,1.7234194,0,48,47,45.967443,47.548039,NA,NA,http://www.foxnews.com/politics/interactive/2017/02/14/fox-news-poll-february-14-2017/,49293,77308,2/14/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/11/2017,2/13/2017,Gallup,B,1500,a,0.15957436,0,40,54,40.74501,52.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/12/2017,2/14/2017,YouGov,B,1500,a,0.21915845,0,43,47,43.893156,48.937403,NA,NA,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.12236693,0,53,47,47.530459,48.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49294,77309,2/15/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/11/2017,2/15/2017,Ipsos,B-,1766,a,0.10166143,0,45.8,50.4,46.904345,49.07252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49404,77577,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,2/12/2017,2/14/2017,YouGov,B,1000,a,0.14610563,0,38,53,38.893156,54.937403,NA,NA,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67513,126305,7/17/2020,00:45:20 27 Sep 2020
